Abra	Casey
Aerodactyl	Ptera
Alakazam	Foodin
Arbok	Arbok
Arcanine	Windie
Articuno	Freezer
Beedrill	Spear
Bellsprout	Madatsubomi
Blastoise	Kamex
Bulbasaur	Fushigidane
Butterfree	Butterfree
Caterpie	Caterpie
Chansey	Lucky
Charizard	Lizardon
Charmander	Hitokage
Charmeleon	Lizardo
Clefable	Pixy
Clefairy	Pippi
Cloyster	Parshen
Cubone	Karakara
Dewgong	Jugon
Diglett	Digda
Ditto	Metamon
Dodrio	Dodrio
Doduo	Dodo
Dragonair	Hakuryu
Dragonite	Kairyu
Dratini	Miniryu
Drowzee	Sleep
Dugtrio	Dugtrio
Eevee	Eievui
Ekans	Arbo
Electabuzz	Eleboo
Electrode	Marumine
Exeggcute	Tamatama
Exeggutor	Nassy
Farfetch'd	Kamonegi
Fearow	Onidrill
Flareon	Booster
Gastly	Ghos
Gengar	Gangar
Geodude	Ishitsubute
Gloom	Kusaihana
Golbat	Golbat
Goldeen	Tosakinto
Golduck	Golduck
Golem	Golonya
Graveler	Golone
Grimer	Betbeter
Growlithe	Gardie
Gyarados	Gyarados
Haunter	Ghost
Hitmonchan	Ebiwalar
Hitmonlee	Sawamular
Horsea	Tattu
Hypno	Sleeper
Ivysaur	Fushigisou
Jigglypuff	Purin
Jolteon	Thunders
Jynx	Rougela
Kabuto	Kabuto
Kabutops	Kabutops
Kadabra	Yungerer
Kakuna	Cocoon
Kangaskhan	Garura
Kingler	Kingler
Koffing	Dogars
Krabby	Crab
Lapras	Laplace
Lickitung	Beroringa
Machamp	Kairiky
Machoke	Goriky
Machop	Wanriky
Magikarp	Koiking
Magmar	Boober
Magnemite	Coil
Magneton	Rarecoil
Mankey	Mankey
Marowak	Garagara
Meowth	Nyarth
Metapod	Transel
Mew	Mew
Mewtwo	Mewtwo
Moltres	Fire
Mr.Mime	Barrierd
Muk	Betbeton
Nidoking	Nidoking
Nidoqueen	Nidoqueen
Nidoran_female	Nidoran
Nidoran_male	Nidoran
Nidorina	Nidorina
Nidorino	Nidorino
Ninetales	Kyukon
Oddish	Nazonokusa
Omanyte	Omnite
Omastar	Omstar
Onix	Iwark
Paras	Paras
Parasect	Parasect
Persian	Persian
Pidgeot	Pigeot
Pidgeotto	Pigeon
Pidgey	Poppo
Pikachu	Pikachu
Pinsir	Kailios
Poliwag	Nyoromo
Poliwhirl	Nyorozo
Poliwrath	Nyorobon
Ponyta	Ponyta
Porygon	Porygon
Primeape	Okorizaru
Psyduck	Koduck
Raichu	Raichu
Rapidash	Gallop
Raticate	Ratta
Rattata	Koratta
Rhydon	Sidon
Rhyhorn	Sihorn
Sandshrew	Sand
Sandslash	Sandpan
Scyther	Strike
Seadra	Seadra
Seaking	Azumao
Seel	Pawou
Shellder	Shellder
Slowbro	Yadoran
Slowpoke	Yadon
Snorlax	Kabigon
Spearow	Onisuzume
Squirtle	Zenigame
Starmie	Starmie
Staryu	Hitodeman
Tangela	Monjara
Tauros	Kentauros
Tentacool	Menokurage
Tentacruel	Dokukurage
Vaporeon	Showers
Venomoth	Morphon
Venonat	Kongpang
Venusaur	Fushigibana
Victreebel	Utsubot
Vileplume	Ruffresia
Voltorb	Biriridama
Vulpix	Rokon
Wartortle	Kameil
Weedle	Beedle
Weepinbell	Utsudon
Weezing	Matadogas
Wigglytuff	Pukurin
Zapdos	Thunder
Zubat	Zubat
