203
10_minute_heist:_the_wizard's_tower	2017	6	5.87304	1.1818	5	10
1st_&_goal	2011	7.5	6.02351	1.8148	4	150
7_wonders_duel	2015	8	7.97914	2.2248	2	30
adventure_time:_love_letter	2015	6.5	6.3181	1.0488	4	20
arkham_horror:_the_card_game	2016	9.5	7.92726	3.4323	2	120
arkham_horror:_the_card_game_–_return_to_the_night_of_the_zealot	2018	3	6.09202	3.5714	2	120
arkham_horror:_the_card_game_–_the_dunwich_legacy:_expansion	2017	7	7.32741	3.5122	2	120
arkham_horror:_the_card_game_–_the_forgotten_age:_expansion	2018	8	6.22352	3.8235	4	120
arkham_horror:_the_card_game_–_the_path_to_carcosa:_expansion	2017	9	6.83716	3.5909	2	120
bang!_the_dice_game	2013	7.5	6.81194	1.2729	8	15
bargain_quest	2017	7	6.36089	1.9412	6	60
betrayal_at_baldur's_gate	2017	0	6.46812	2.551	6	60
betrayal_at_house_on_the_hill	2004	7.5	6.85897	2.3838	6	60
biblios	2007	6.5	7.02314	1.6798	4	30
blood_rage	2015	10	7.81944	2.8803	4	90
blood_rage:_5th_player_expansion	2015	7.5	6.99227	2.6452	5	90
blood_rage:_gods_of_ásgard	2015	6	6.6996	2.5769	4	90
bottom_of_the_9th	2015	5.5	6.20482	1.6885	2	20
camel_up_(second_edition)	2018	10	6.97792	1.5116	8	45
captain_sonar	2016	7	7.35578	2.1459	8	60
carcassonne	2000	7	7.30966	1.9133	5	45
carcassonne:_the_dice_game	2011	1	5.29778	1.1136	5	10
castellion	2015	7	6.24586	2.0517	2	30
castle_panic	2009	8	6.49613	1.6657	6	60
castle_panic:_the_wizard's_tower	2011	7	6.80418	2.0714	6	90
the_chameleon	2017	6.5	6.139	1.0588	8	15
chronicles_of_crime	2018	7	7.38286	2.1189	4	90
claustrophobia	2009	5.5	7.10623	2.4843	2	45
cockroach_poker	2004	9	6.49849	1.1185	6	20
codenames	2015	5.5	7.53283	1.2895	8	15
codenames:_disney_family_edition	2017	5.5	6.12012	1.2778	8	15
codenames:_duet	2017	6.5	7.34969	1.3427	99	30
codenames:_pictures	2016	4	7.08324	1.2607	8	15
codinca	2012	5	5.70713	1.375	4	30
colt_express	2014	7.5	6.99098	1.8187	6	40
colt_express:_horses_&_stagecoach	2015	6	6.59137	2.1636	6	60
comanauts	2019	8.5	5.70522	2.625	4	120
concept	2013	8	6.67318	1.4033	12	40
the_crew:_the_quest_for_planet_nine	2019	8	7.74143	2	5	20
cribbage	1630	9.5	6.77793	1.9041	4	30
dead_of_winter:_the_long_night	2016	7	7.22198	3.4122	5	120
deception:_murder_in_hong_kong	2014	6.5	7.28646	1.5923	12	20
diamant	2005	8	6.69863	1.1132	8	30
dice_town	2009	10	6.59374	1.6863	5	45
dice_town:_wild_west	2011	8	6.20338	2	6	60
dixit	2008	6	7.14994	1.2191	6	30
don't_get_got!	2018	0	5.91932	1.0769	10	1440
draftosaurus	2019	7.5	6.73003	1.2136	5	15
dragonfire	2017	7	6.39944	3.2105	6	90
drop_it	2018	6	6.30443	1.0938	4	30
duelosaur_island	2018	7	6.5544	2.3529	2	45
dungeon_roll	2013	6	5.96907	1.3355	4	15
dungeons_&_dragons:_adventure_begins	2020	7	5.56442	1.3	4	0
dungeons_&_dragons:_castle_ravenloft_board_game	2010	8	6.66375	2.5085	5	60
dungeons_&_dragons:_the_legend_of_drizzt_board_game	2011	6.5	6.76875	2.5944	5	60
dungeons_&_dragons:_wrath_of_ashardalon_board_game	2011	6.5	6.69317	2.6216	5	60
elder_sign	2011	6.5	6.82795	2.3482	8	90
elder_sign:_gates_of_arkham	2015	7	6.86042	2.5857	8	90
elder_sign:_omens_of_ice	2016	5	6.27483	2.5385	8	90
elder_sign:_omens_of_the_deep	2017	5	6.09826	3	8	90
en_garde	1993	4	5.98939	1.4065	2	30
ethnos	2017	10	7.1862	2.0353	6	60
famiglia	2010	5	6.11848	1.7512	2	30
fast_forward:_fear	2017	4	5.77122	1.0667	5	15
felicity:_the_cat_in_the_sack	2007	7.5	6.30297	1.3987	5	20
fireball_island:_the_curse_of_vul-kar	2018	6.5	6.48297	1.5135	4	60
firefly:_shiny_dice	2015	4.5	5.48175	1.85	5	30
flash_point:_fire_rescue	2011	6.5	7.051	2.2068	6	45
flick_'em_up!:_dead_of_winter	2017	6.5	6.05281	2.1176	10	45
for_sale	1997	10	7.10593	1.2653	6	30
forbidden_desert	2013	8.5	7.01016	2.0521	5	45
forbidden_island	2010	6	6.69753	1.7413	4	30
forbidden_sky	2018	6.5	6.12245	2.5897	5	60
friday	2011	7	6.97163	2.1409	1	25
fuji_flush	2016	7	6.14051	1.05	8	20
fury_of_dracula_(third/fourth_edition)	2015	8	7.22442	3.2199	5	180
get_bit!	2007	6	6.00071	1.1191	6	20
ghostbusters:_protect_the_barrier_game	2016	6	5.64182	1.75	4	30
the_godfather:_corleone's_empire	2017	7.5	7.06493	2.6	5	90
good_cop_bad_cop	2014	7	6.23464	1.2525	8	20
the_grizzled	2015	5.5	6.98069	1.9408	5	30
the_grizzled:_at_your_orders!	2016	7.5	6.70603	2.2941	5	30
groundhog_day:_the_game	2021	7.5	0	0	6	25
guillotine	1998	5.5	6.40896	1.2694	5	30
hanabi	2010	1.5	6.99133	1.7007	5	25
happy_salmon	2016	8	6.38859	1.1039	6	2
hit_z_road	2016	7.5	6.332	1.8451	4	60
hive	2000	6	7.18788	2.3327	2	20
hms_dolores	2016	7	5.7877	1.3333	4	20
horrified	2019	8	7.30006	2.05	5	60
icecool	2016	7	6.5967	1.0171	4	30
jamaica	2007	7	6.89	1.6512	6	60
jaws	2019	7	6.61606	2.1636	4	60
just_one	2018	10	7.34103	1.0556	7	20
kaosball:_the_fantasy_sport_of_total_domination	2014	6	5.87028	2.5294	4	60
kero	2018	0	6.0394	1.9583	2	30
king_of_new_york	2014	9	6.77881	1.8688	6	40
king_of_tokyo	2011	8	7.0907	1.4937	6	30
king_of_tokyo:_power_up!	2012	9	7.31884	1.7017	6	30
kingdomino	2016	6	7.22823	1.211	4	15
kingsport_festival	2014	8	6.17578	2.6264	5	90
libertalia	2012	9	6.96365	2.2388	6	60
lost_cities	1999	8	7.07963	1.4962	2	30
love_letter	2012	6.5	7.14277	1.1921	4	20
love_letter_premium	2016	7	6.90328	1.3067	8	30
magic_maze	2017	5.5	6.88846	1.7471	8	15
mansions_of_madness:_second_edition	2016	8.5	7.82167	2.6831	5	180
memoir_'44	2004	9	7.39049	2.2731	8	60
mental_blocks	2019	6	5.81762	1.4286	9	20
metro_x	2018	8	6.08967	1.875	99	20
the_mind	2018	7.5	6.77816	1.0758	4	15
my_first_castle_panic	2019	6	5.69439	1.1667	4	20
my_little_scythe	2017	9	6.78356	2.0125	6	60
mysterium	2015	8	7.17054	1.9072	7	42
mythe	2012	6	5.61386	1.3846	5	20
new_york_slice	2017	7.5	6.32201	1.4255	6	30
no_thanks!	2004	7	6.93558	1.1403	7	20
onirim_(second_edition)	2014	6	6.80547	1.5721	2	15
outfoxed!	2014	9	6.4752	1.0909	4	15
pandemic	2008	6	7.50792	2.4114	4	45
pandemic_legacy:_season_1	2015	5.5	8.46356	2.8407	4	60
pandemic_legacy:_season_2	2017	6	7.81761	3.2596	4	60
pandemic:_in_the_lab	2013	8	7.24906	2.8699	6	60
pandemic:_on_the_brink	2009	4	7.80329	2.6516	5	45
parfum	2015	4.5	5.97075	2.0714	4	45
paris:_la_cité_de_la_lumière	2019	7	6.36449	2.1714	2	30
patchwork	2014	6	7.54942	1.6402	2	30
