objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"10 Minute Heist: The Wizard's Tower","194789","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57829185","5.85067","6.42882","1.24","3558","2213","thing","10 Minute Heist: The Wizard's Tower","2","5","10","10","10","2017","2,3,4,5","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"1st & Goal","95105","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57824672","5.98439","6.53098","1.8214","2713","2573","thing","1st & Goal","2","4","150","150","120","2011","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel","173346","8","","0","1","0","0","0","0","0","0","0","3","","","","","","52754132","7.97939","8.10326","2.2213","19","123088","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Animal Upon Animal","17329","10","","0","1","0","0","0","0","0","0","0","3","","","","","","97147611","6.53917","6.80111","1.0415","1039","12388","thing","Animal Upon Animal","2","4","15","15","15","2005","2,3,4","4","3+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Animal Upon Animal: Christmas Edition","304821","8.5","","0","1","0","0","0","0","0","0","0","3","","","","","","97147635","5.59085","7.20219","0","8041","308","thing","Animal Upon Animal: Christmas Edition","2","4","20","20","20","2020","2,3,4","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Animal Upon Animal: Small and Yet Great!","104805","7","","0","1","0","0","0","0","0","0","0","3","","","","","","97147624","5.6555","6.26855","1","5974","980","thing","Animal Upon Animal: Small and Yet Great!","2","2","15","15","15","2011","2","2","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror (Third Edition)","257499","7","","0","1","0","0","0","0","0","0","0","3","","","","","","90596191","7.14157","7.73482","3.3264","298","13797","thing","Arkham Horror (Third Edition)","1","6","180","180","120","2018","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game","205637","9.5","","0","1","0","0","0","0","0","0","0","3","","","","","","52754134","7.92099","8.15203","3.4996","25","65311","thing","Arkham Horror: The Card Game","1","2","120","120","60","2016","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Return to the Night of the Zealot","244145","3","","0","1","0","0","0","0","0","0","0","3","","","","","","57825204","6.16076","7.97772","3.7778","0","6581","thing","Arkham Horror: The Card Game – Return to the Night of the Zealot","1","2","120","120","60","2018","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Dunwich Legacy: Expansion","208545","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57825190","7.3691","8.45704","3.44","0","18311","thing","Arkham Horror: The Card Game – The Dunwich Legacy: Expansion","1","2","120","120","60","2017","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Forgotten Age: Expansion","245815","8","","0","1","0","0","0","0","0","0","0","3","","","","","","57825225","6.38362","8.35528","3.8636","0","7156","thing","Arkham Horror: The Card Game – The Forgotten Age: Expansion","1","4","120","120","60","2018","1,2,3","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Path to Carcosa: Expansion","225563","9","","0","1","0","0","0","0","0","0","0","3","","","","","","57825215","6.97053","8.72533","3.52","0","10884","thing","Arkham Horror: The Card Game – The Path to Carcosa: Expansion","1","2","120","120","60","2017","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"BANG! The Dice Game","143741","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57831237","6.77893","6.92386","1.2761","658","35229","thing","BANG! The Dice Game","3","8","15","15","15","2013","5,6,7,8","6,7","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Bargain Quest","223740","7","","0","1","0","0","0","0","0","0","0","3","","","","","","68075535","6.36016","6.92087","1.9688","1392","6304","thing","Bargain Quest","2","6","60","60","30","2017","2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Betrayal at Baldur's Gate","228660","0","","0","1","0","0","0","0","0","0","0","1","","","","","","57828054","6.45716","7.10789","2.5614","1205","8272","thing","Betrayal at Baldur's Gate","3","6","60","60","60","2017","3,4,5,6","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Betrayal at House on the Hill","10547","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57828049","6.83608","7.04632","2.3866","585","69093","thing","Betrayal at House on the Hill","3","6","60","60","60","2004","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Biblios","34219","6.5","","0","1","0","0","0","0","0","0","0","1","","","","","","57829171","7.02172","7.2052","1.6849","399","20907","thing","Biblios","2","4","30","30","30","2007","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Blood Rage","170216","10","","0","1","0","0","0","0","0","0","0","3","","","","","","52754135","7.79972","7.9724","2.8801","40","48427","thing","Blood Rage","2","4","90","90","60","2015","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Blood Rage: 5th Player Expansion","174506","7.5","","0","1","0","0","0","0","0","0","0","1","","","","","","58789767","6.99823","8.08529","2.675","0","11513","thing","Blood Rage: 5th Player Expansion","5","5","90","90","60","2015","3,4,5","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Blood Rage: Gods of Ásgard","174801","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57824967","6.70275","7.67509","2.6129","0","11229","thing","Blood Rage: Gods of Ásgard","2","4","90","90","60","2015","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Boom, Bang, Gold","235467","8","","0","1","0","0","0","0","0","0","0","3","","","","","","97147595","5.54138","6.19392","1.2","11665","334","thing","Boom, Bang, Gold","2","4","20","20","20","2017","3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bottom of the 9th","166286","5.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57833079","6.17272","6.7571","1.7077","1944","5015","thing","Bottom of the 9th","1","2","20","20","5","2015","1,2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Camel Up (Second Edition)","260605","10","","0","1","0","0","0","0","0","0","0","3","","","","","","58789508","7.18456","7.63382","1.454","272","12914","thing","Camel Up (Second Edition)","3","8","45","45","30","2018","3,4,5,6,7,8","5,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Captain Sonar","171131","7","","0","1","0","0","0","0","0","0","0","3","","","","","","52754164","7.32836","7.54066","2.1863","183","25638","thing","Captain Sonar","2","8","60","60","45","2016","6,7,8","8","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne","822","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57829548","7.30467","7.41526","1.9026","199","169463","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne: The Dice Game","89953","1","","0","1","0","0","0","0","0","0","0","3","","","","","","57922165","5.30551","4.94726","1.1111","22785","2197","thing","Carcassonne: The Dice Game","2","5","10","10","10","2011","2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cartographers","263918","8","","0","1","0","0","0","0","0","0","0","3","","","","","","89434323","7.47197","7.68216","1.8905","119","36281","thing","Cartographers","1","100","45","45","30","2019","1,2,3,4,5,6,7,8,9","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Castellion","143404","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57882581","6.21709","6.92307","2.0769","1790","4419","thing","Castellion","1","2","30","30","30","2015","1,2","1","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Castle Panic","43443","8","","0","1","0","0","0","0","0","0","0","3","","","","","","57828181","6.48195","6.64906","1.6619","1148","26004","thing","Castle Panic","1","6","60","60","60","2009","1,2,3,4,5,6","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Castle Panic: The Wizard's Tower","104590","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57828204","6.7527","7.46164","2.0702","0","9341","thing","Castle Panic: The Wizard's Tower","1","6","90","90","90","2011","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"The Chameleon","227072","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57882626","6.16387","6.61025","1.0638","1972","6963","thing","The Chameleon","3","8","15","15","15","2017","4,5,6,7,8","6,7","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
