objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"10 Minute Heist: The Wizard's Tower","194789","6","","0","1","0","0","0","0","0","0","0","3","","","","","","57829185","5.83116","6.40506","1.2308","3851","2256","thing","10 Minute Heist: The Wizard's Tower","2","5","10","10","10","2017","2,3,4,5","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"1st & Goal","95105","7.5","","0","1","0","0","0","0","0","0","0","3","","","","","","57824672","5.96546","6.53036","1.807","2923","2604","thing","1st & Goal","2","4","150","150","120","2011","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel","173346","8","","0","1","0","0","0","0","0","0","0","3","","","","","","52754132","7.97584","8.09922","2.2264","18","138662","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Animal Upon Animal","17329","10","","0","1","0","0","0","0","0","0","0","3","","","","","","97147611","6.52574","6.79275","1.0405","1115","12965","thing","Animal Upon Animal","2","4","15","15","15","2005","2,3,4","4","3+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Animal Upon Animal: Christmas Edition","304821","8.5","","0","1","0","0","0","0","0","0","0","3","","","","","","97147635","5.61091","7.25022","0","7495","403","thing","Animal Upon Animal: Christmas Edition","2","4","20","20","20","2020","2,3,4","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Animal Upon Animal: Small and Yet Great!","104805","7","","0","1","0","0","0","0","0","0","0","3","","","","","","97147624","5.64657","6.26223","1","6414","999","thing","Animal Upon Animal: Small and Yet Great!","2","2","15","15","15","2011","2","2","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror (Third Edition)","257499","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","90596191","7.13902","7.70498","3.3382","305","15778","thing","Arkham Horror (Third Edition)","1","6","180","180","120","2018","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game","205637","9.5","","0","1","0","0","0","0","0","0","0","3","","","","","","52754134","7.91131","8.14177","3.5262","27","70261","thing","Arkham Horror: The Card Game","1","2","120","120","60","2016","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Return to the Night of the Zealot","244145","3","","0","1","0","0","0","0","0","0","0","3","","","","","","57825204","6.17709","7.99782","3.8","0","7047","thing","Arkham Horror: The Card Game – Return to the Night of the Zealot","1","2","120","120","60","2018","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Dunwich Legacy: Expansion","208545","7","","0","1","0","0","0","0","0","0","0","3","","","","","","57825190","7.34828","8.44597","3.4528","0","19021","thing","Arkham Horror: The Card Game – The Dunwich Legacy: Expansion","1","2","120","120","60","2017","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
