name	gibbonsrating	baverage	avgweight	yearpublished	bggbestplayers
10 Minute Heist: The Wizard's Tower	6	5.83116	1.2308	2017	3
1st & Goal	7.5	5.96546	1.807	2011	2
7 Wonders Duel	8	7.97584	2.2264	2015	2
Animal Upon Animal	10	6.52574	1.0405	2005	4
Animal Upon Animal: Christmas Edition	8.5	5.61091	0	2020	2
Animal Upon Animal: Small and Yet Great!	7	5.64657	1	2011	2
Arkham Horror (Third Edition)	6.5	7.13902	3.3382	2018	3
Arkham Horror: The Card Game	9.5	7.91131	3.5262	2016	2
Arkham Horror: The Card Game “ Return to the Night of the Zealot	3	6.17709	3.8	2018	2
Arkham Horror: The Card Game “ The Dunwich Legacy: Expansion	7	7.34828	3.4528	2017	2
Arkham Horror: The Card Game “ The Forgotten Age: Expansion	8	6.40284	3.8696	2018	2
Arkham Horror: The Card Game “ The Path to Carcosa: Expansion	9	6.97267	3.52	2017	2
BANG! The Dice Game	7.5	6.75972	1.2806	2013	6,7
Bargain Quest	7	6.35358	2.0141	2017	4
Betrayal at Baldur's Gate	0	6.45262	2.5645	2017	5
Betrayal at House on the Hill	7.5	6.82467	2.3885	2004	5,6
Biblios	6.5	7.01126	1.6827	2007	3
Blood Rage	10	7.77892	2.8758	2015	4
Blood Rage: 5th Player Expansion	7.5	7.00875	2.6905	2015	4,5
Blood Rage: Gods of Asgard	6	6.70171	2.6286	2015	4
Boom, Bang, Gold	8	5.54117	1.1667	2017	3,4
Bottom of the 9th	5.5	6.15297	1.7059	2015	2
Camel Up (Second Edition)	10	7.21517	1.4593	2018	5,6
Captain Sonar	7	7.31629	2.1855	2016	8
Carcassonne	7	7.29865	1.8992	2000	2
Cartographers	8	7.45285	1.8866	2019	3,4
Castellion	7	6.19351	2.0909	2015	1
Castle Panic	8	6.47074	1.6531	2009	4
Castle Panic: The Wizard's Tower	7	6.72481	2.0603	2011	3,4
The Chameleon	6.5	6.16555	1.0536	2017	6,7
Chronicles of Crime	8	7.25244	2.0689	2018	2
Claustrophobia	6.5	7.01629	2.4834	2009	2
Cockroach Poker	9	6.57603	1.1077	2004	5
Codenames: Duet	6.5	7.28064	1.3662	2017	2
Codinca	5	5.67267	1.3333	2012	2,3
Colt Express	7.5	6.95964	1.8233	2014	5,6
Colt Express: Horses & Stagecoach	6	6.55455	2.1429	2015	4,5,6
Comanauts	8.5	5.72683	2.6	2019	2
Concept	8	6.62084	1.382	2013	6
The Crew: The Quest for Planet Nine	8	7.69962	1.9698	2019	4
Cribbage	9.5	6.78522	1.9037	1630	2
Dead of Winter: The Long Night	7	7.12721	3.3571	2016	4
Dice Town	10	6.57091	1.6909	2009	4,5
Dice Town: Wild West	8	6.13887	1.973	2011	6
Dixit	6	7.10458	1.2022	2008	5,6
Don't Get Got!	7	6.09638	1.0435	2018	7
Draftosaurus	7.5	6.86502	1.2549	2019	4
Dragonfire	7	6.28389	3.2299	2017	4
Drop It	6	6.30207	1.0952	2018	2,4
Duelosaur Island	7	6.46689	2.3492	2018	2
Dungeon Roll	6	5.92993	1.3305	2013	2
Dungeons & Dragons: Adventure Begins	7	5.65234	1.3704	2020	4
Dungeons & Dragons: Castle Ravenloft Board Game	8	6.63022	2.505	2010	4
Dungeons & Dragons: The Legend of Drizzt Board Game	6.5	6.70481	2.5878	2011	3,4
Dungeons & Dragons: Wrath of Ashardalon Board Game	0	6.62565	2.6104	2011	3,4
Elder Sign	6.5	6.79881	2.346	2011	4
Elder Sign: Gates of Arkham	7	6.78497	2.5753	2015	2,4
Elder Sign: Omens of Ice	5	6.24326	2.5714	2016	2
Elder Sign: Omens of the Deep	5	6.11495	2.8571	2017	1,3
En Garde	4	5.95222	1.3968	1993	2
Ethnos	10	7.18519	2.0282	2017	4
Famiglia	5	6.06492	1.7606	2010	2
Fast Forward: FEAR	4	5.75634	1.0833	2017	4
Felicity: The Cat in the Sack	7.5	6.25474	1.3962	2007	5
Finger Guns at High Noon	9	5.62217	1.6667	2019	7
Fireball Island: The Curse of Vul-Kar	7	6.40846	1.4742	2018	4
Firefly: Shiny Dice	4.5	5.47726	1.8636	2015	1
Flash Point: Fire Rescue	6.5	7.00635	2.2002	2011	4
Flick 'em Up!: Dead of Winter	6.5	6.03142	2.1111	2017	2,4
For Sale	10	7.1212	1.2557	1997	5
Forbidden Desert	8.5	6.9537	2.0383	2013	4
Forbidden Island	7	6.66934	1.738	2010	4
Forbidden Sky	5	6.04933	2.5818	2018	3,4
Friday	7	6.94245	2.1505	2011	1
Fuji Flush	7	6.14324	1.0536	2016	6,7,8
Fury of Dracula (Third/Fourth Edition)	8	7.1614	3.2794	2015	3,5
Gate	8	5.80938	1.7368	2020	1
Get Bit!	6	5.96899	1.122	2007	5,6
Ghostbusters: Protect the Barrier Game	6	5.63328	1.8	2016	4
The Godfather: Corleone's Empire	7.5	7.05178	2.6257	2017	4
Good Cop Bad Cop	7	6.16163	1.2621	2014	6,8
